iam_role_name,role_owner
role-348,#N/A
role-349,#N/A
role-350,#N/A
role-351,#N/A
role-352,#N/A
role-353,#N/A
role-353,user-6977
role-354,#N/A
role-354,user-6977
role-355,#N/A
role-355,user-6977
role-356,#N/A
role-356,user-6977
role-357,#N/A
role-357,user-6977
role-358,#N/A
role-358,user-6977
role-359,#N/A
role-359,user-6977
role-360,#N/A
role-360,user-6977
role-361,#N/A
role-361,user-6977
role-362,#N/A
role-362,user-6977
role-363,#N/A
role-363,user-6977
role-364,#N/A
role-364,user-6977
role-365,#N/A
role-365,user-6977
role-366,#N/A
role-366,user-6977
role-367,#N/A
role-367,user-6977
role-368,#N/A
role-368,user-6977
role-369,#N/A
role-369,user-6977
role-370,#N/A
role-370,user-6977
role-371,#N/A
role-371,user-6977
role-372,#N/A
role-372,user-6977
role-373,#N/A
role-374,#N/A
role-374,user-6977
role-375,#N/A
role-375,user-6977
role-376,#N/A
role-376,user-6977
role-377,#N/A
role-378,#N/A
role-379,#N/A
role-380,#N/A
role-381,#N/A
role-382,#N/A
role-383,#N/A
role-384,#N/A
role-385,#N/A
role-386,#N/A
role-387,#N/A
role-388,#N/A
role-389,#N/A
role-390,#N/A
role-391,#N/A
role-392,#N/A
role-393,#N/A
role-394,#N/A
role-395,#N/A
role-396,#N/A
role-397,#N/A
role-398,#N/A
role-399,#N/A
role-400,#N/A
role-401,#N/A
role-402,#N/A
role-403,#N/A
role-404,#N/A
role-405,#N/A
role-406,#N/A
role-407,#N/A
role-408,#N/A
role-409,#N/A
role-410,#N/A
role-411,#N/A
role-412,#N/A
role-413,#N/A
role-414,#N/A
role-415,#N/A
role-416,#N/A
role-417,#N/A
role-418,#N/A
role-419,#N/A
role-420,#N/A
role-421,#N/A
role-422,#N/A
role-423,#N/A
role-424,#N/A
role-425,#N/A
role-426,#N/A
role-427,#N/A
role-428,#N/A
role-429,#N/A
role-430,#N/A
role-431,#N/A
role-432,#N/A
role-433,#N/A
role-434,#N/A
role-435,#N/A
role-436,#N/A
role-437,#N/A
role-438,#N/A
role-439,#N/A
role-440,#N/A
role-441,#N/A
role-442,#N/A
role-443,#N/A
role-444,#N/A
role-445,#N/A
role-446,#N/A
role-447,#N/A
role-448,#N/A
role-449,#N/A
role-450,#N/A
role-451,#N/A
role-452,#N/A
role-453,#N/A
role-454,#N/A
role-455,#N/A
role-456,#N/A
role-457,#N/A
role-458,#N/A
role-459,#N/A
role-460,#N/A
role-461,#N/A
role-462,#N/A
role-463,#N/A
role-463,user-6978
role-464,#N/A
role-464,user-6978
role-465,#N/A
role-465,user-6978
role-466,#N/A
role-466,user-6978
role-467,#N/A
role-467,user-6978
role-468,#N/A
role-468,user-6978
role-469,#N/A
role-469,user-6978
role-470,#N/A
role-470,user-6978
role-471,#N/A
role-472,#N/A
role-473,#N/A
role-474,#N/A
role-475,#N/A
role-476,#N/A
role-477,#N/A
role-478,#N/A
role-479,#N/A
role-480,#N/A
role-481,#N/A
role-482,#N/A
role-483,#N/A
role-484,#N/A
role-485,#N/A
role-486,#N/A
role-487,user-5683
role-487,user-5433
role-487,#N/A
role-488,user-5683
role-488,user-5433
role-488,#N/A
role-489,user-5683
role-489,user-5433
role-489,#N/A
role-490,user-5683
role-490,user-5433
role-490,#N/A
role-491,user-5683
role-491,user-5433
role-491,#N/A
role-492,#N/A
role-493,user-5683
role-493,user-5433
role-493,#N/A
role-494,user-5683
role-494,user-5433
role-494,#N/A
role-495,#N/A
role-496,#N/A
role-497,#N/A
role-498,#N/A
role-499,#N/A
role-500,#N/A
role-501,#N/A
role-502,#N/A
role-503,#N/A
role-504,#N/A
role-505,#N/A
role-506,#N/A
role-507,#N/A
role-508,#N/A
role-509,#N/A
role-510,#N/A
role-511,#N/A
role-512,#N/A
role-513,#N/A
role-514,#N/A
role-515,#N/A
role-516,#N/A
role-517,#N/A
role-518,#N/A
role-519,#N/A
role-520,#N/A
role-521,#N/A
role-522,#N/A
role-523,#N/A
role-524,#N/A
role-525,#N/A
role-526,#N/A
role-527,#N/A
role-528,#N/A
role-529,#N/A
role-530,#N/A
role-531,#N/A
role-532,#N/A
role-533,#N/A
role-534,user-2082
role-534,#N/A
role-534,user-6895
role-534,user-4988
role-535,#N/A
role-536,#N/A
role-537,#N/A
role-538,#N/A
role-539,#N/A
role-540,#N/A
role-541,user-3938
role-542,user-3938
role-543,#N/A
role-544,user-4574
role-544,#N/A
role-545,#N/A
role-546,#N/A
role-547,#N/A
role-548,#N/A
role-549,#N/A
role-550,#N/A
role-551,#N/A
role-551,user-4696
role-552,#N/A
role-552,user-4696
role-553,#N/A
role-554,#N/A
role-555,#N/A
role-556,#N/A
role-557,user-6437
role-557,#N/A
role-558,user-6437
role-558,#N/A
role-559,#N/A
role-560,#N/A
role-561,#N/A
role-562,#N/A
role-563,#N/A
role-564,user-6437
role-564,#N/A
role-565,user-3182
role-565,user-3558
role-566,#N/A
role-567,#N/A
role-568,#N/A
role-569,#N/A
role-570,#N/A
role-571,#N/A
role-572,#N/A
role-573,#N/A
role-574,#N/A
role-575,#N/A
role-576,#N/A
role-577,#N/A
role-578,#N/A
role-579,#N/A
role-580,#N/A
role-581,#N/A
role-582,#N/A
role-583,#N/A
role-584,user-3182
role-584,user-3558
role-585,#N/A
role-586,#N/A
role-587,#N/A
role-588,#N/A
role-589,#N/A
role-590,user-5365
role-590,user-1502
role-591,user-156
role-591,user-6761
role-592,#N/A
role-593,user-5023
role-594,#N/A
role-595,#N/A
role-596,#N/A
role-597,#N/A
role-598,#N/A
role-599,#N/A
role-600,#N/A
role-601,#N/A
role-602,#N/A
role-603,#N/A
role-604,#N/A
role-605,#N/A
role-606,user-6844
role-606,#N/A
role-607,user-5484
role-607,#N/A
role-608,user-5484
role-608,#N/A
role-609,user-1017
role-609,user-985
role-610,#N/A
role-610,user-4309
role-611,#N/A
role-611,user-4309
role-612,#N/A
role-612,user-4309
role-613,user-4677
role-613,user-4037
role-613,#N/A
role-614,#N/A
role-614,user-5147
role-615,#N/A
role-616,#N/A
role-617,#N/A
role-618,#N/A
role-619,#N/A
role-620,#N/A
role-621,#N/A
role-622,user-1666
role-622,user-3200
role-622,user-4300
role-623,user-3139
role-623,user-3365
role-624,user-6839
role-625,user-6839
role-625,#N/A
role-626,user-6839
role-626,#N/A
role-627,#N/A
role-628,#N/A
role-629,#N/A
role-630,#N/A
role-631,#N/A
role-632,#N/A
role-633,#N/A
role-634,#N/A
role-635,#N/A
role-636,#N/A
role-636,user-5713
role-636,user-6416
role-636,user-5721
role-637,#N/A
role-638,#N/A
role-639,#N/A
role-640,#N/A
role-640,user-5426
role-640,user-5616
role-641,user-4703
role-641,user-3599
role-642,#N/A
role-643,#N/A
role-644,#N/A
role-645,#N/A
role-646,#N/A
role-647,user-4677
role-647,user-4037
role-648,user-4677
role-648,user-4037
role-649,user-4677
role-649,user-4037
role-650,#N/A
role-651,#N/A
role-652,user-6839
role-653,user-6661
role-654,user-6661
role-655,user-6661
role-656,user-6661
role-657,user-6661
role-658,user-6661
role-659,user-6661
role-660,user-6661
role-661,user-6661
role-662,user-6661
role-663,user-6661
role-664,user-6661
role-665,user-6661
role-665,user-5266
role-666,user-6661
role-667,user-6661
role-668,user-6661
role-669,user-6661
role-670,user-6661
role-671,user-6661
role-672,user-2257
role-672,user-6661
role-673,user-6661
role-674,user-6661
role-675,user-6661
role-676,user-6661
role-677,user-6661
role-678,#N/A
role-679,#N/A
role-680,#N/A
role-681,#N/A
role-682,#N/A
role-683,user-6661
role-684,user-6661
role-685,user-6661
role-686,user-6661
role-687,user-6661
role-688,user-6661
role-689,user-6661
role-690,user-6661
role-691,user-6661
role-692,user-6661
role-693,user-6661
role-694,user-6661
role-695,user-6661
role-696,user-6661
role-697,user-6661
role-698,#N/A
role-699,#N/A
role-700,user-4970
role-701,#N/A
role-702,user-360
role-702,user-5266
role-702,user-6661
role-703,#N/A
role-703,user-1498
role-704,#N/A
role-705,#N/A
role-706,#N/A
role-707,#N/A
role-708,#N/A
role-709,#N/A
role-710,#N/A
role-711,#N/A
role-712,#N/A
role-713,#N/A
role-714,#N/A
role-715,#N/A
role-716,#N/A
role-717,#N/A
role-718,#N/A
role-718,user-6896
role-719,#N/A
role-720,#N/A
role-721,#N/A
role-722,user-6839
role-722,#N/A
role-723,user-784
role-723,user-5340
role-724,user-5340
role-725,user-784
role-725,user-5340
role-726,user-784
role-726,user-5340
role-727,#N/A
role-728,#N/A
role-729,#N/A
role-730,#N/A
role-731,user-4381
role-731,user-208
role-732,#N/A
role-733,#N/A
role-734,user-1087
role-734,user-5340
role-735,user-784
role-735,user-5340
role-736,user-1087
role-736,user-5340
role-737,user-784
role-737,user-5340
role-738,#N/A
role-739,#N/A
role-739,user-1126
role-740,#N/A
role-740,user-1126
role-741,#N/A
role-741,user-1126
role-742,#N/A
role-743,#N/A
role-743,user-275
role-744,#N/A
role-745,#N/A
role-746,#N/A
role-747,user-6626
role-747,#N/A
role-748,user-6626
role-748,#N/A
role-749,user-6626
role-749,#N/A
role-750,#N/A
role-751,#N/A
role-751,user-5789
role-752,#N/A
role-753,#N/A
role-754,#N/A
role-754,user-6844
role-755,#N/A
role-756,#N/A
role-756,user-1569
role-757,user-6967
role-757,user-1858
role-758,#N/A
role-759,#N/A
role-760,#N/A
role-761,#N/A
role-762,#N/A
role-763,#N/A
role-764,#N/A
role-765,#N/A
role-766,#N/A
role-767,user-56
role-767,user-6392
role-768,#N/A
role-769,#N/A
role-770,#N/A
role-771,#N/A
role-772,#N/A
role-772,user-6888
role-773,#N/A
role-774,#N/A
role-775,#N/A
role-776,#N/A
role-777,#N/A
role-778,#N/A
role-779,#N/A
role-780,#N/A
role-781,#N/A
role-782,user-4987
role-782,#N/A
role-783,#N/A
role-784,#N/A
role-785,#N/A
role-786,#N/A
role-786,user-5734
role-787,#N/A
role-787,user-5734
role-788,user-3435
role-788,user-4378
role-789,#N/A
role-790,#N/A
role-791,#N/A
role-791,user-5734
role-792,user-1845
role-793,user-3473
role-793,#N/A
role-794,user-4554
role-794,user-2987
role-795,#N/A
role-796,#N/A
role-796,user-4677
role-797,#N/A
role-798,#N/A
role-799,#N/A
role-800,#N/A
role-801,user-5713
role-801,user-113
role-802,user-5713
role-802,user-113
role-803,user-2184
role-804,#N/A
role-804,user-5021
role-805,#N/A
role-806,#N/A
role-807,#N/A
role-808,#N/A
role-809,#N/A
role-810,#N/A
role-811,#N/A
role-812,#N/A
role-813,user-4963
role-814,#N/A
role-815,#N/A
role-815,user-6300
role-816,#N/A
role-817,#N/A
role-818,#N/A
role-819,#N/A
role-820,#N/A
role-821,#N/A
role-822,#N/A
role-823,#N/A
role-824,#N/A
role-825,#N/A
role-826,#N/A
role-827,#N/A
role-827,user-4133
role-827,user-4677
role-828,user-7020
role-828,#N/A
role-829,user-6870
role-830,#N/A
role-831,#N/A
role-832,user-6839
role-833,#N/A
role-834,#N/A
role-835,user-994
role-835,#N/A
role-836,#N/A
role-837,#N/A
role-837,user-5734
role-838,#N/A
role-838,user-5734
role-839,#N/A
role-840,user-6790
role-840,#N/A
role-841,#N/A
role-842,#N/A
role-843,#N/A
role-843,user-5734
role-844,#N/A
role-844,user-5734
role-845,#N/A
role-845,user-5734
role-846,#N/A
role-846,user-5734
role-847,#N/A
role-847,user-5734
role-848,#N/A
role-848,user-5734
role-849,#N/A
role-850,#N/A
role-851,#N/A
role-852,user-3866
role-853,#N/A
role-854,#N/A
role-855,#N/A
role-856,user-5634
role-856,#N/A
role-857,user-4070
role-858,user-3473
role-858,#N/A
role-859,#N/A
role-860,#N/A
role-861,#N/A
role-862,#N/A
role-862,user-7161
role-863,#N/A
role-864,#N/A
role-865,user-5562
role-866,#N/A
role-867,user-3023
role-867,#N/A
role-868,#N/A
role-869,#N/A
role-870,user-1845
role-871,user-4970
role-871,#N/A
role-872,#N/A
role-873,#N/A
role-874,#N/A
role-875,#N/A
role-876,#N/A
role-877,#N/A
role-878,#N/A
role-879,#N/A
role-880,#N/A
role-881,#N/A
role-882,#N/A
role-883,#N/A
role-884,#N/A
role-885,#N/A
role-886,#N/A
role-887,#N/A
role-888,#N/A
role-889,user-1666
role-889,user-3200
role-889,user-4300
role-890,user-1666
role-890,user-3200
role-890,user-4300
role-891,#N/A
role-892,user-2909
role-892,user-2690
role-892,user-1785
role-893,#N/A
role-894,#N/A
role-895,user-6839
role-896,user-4554
role-896,user-2987
role-897,#N/A
role-898,#N/A
role-899,#N/A
role-900,#N/A
role-901,#N/A
role-902,#N/A
role-903,#N/A
role-904,user-3139
role-904,user-3365
role-904,user-634
role-904,user-4326
role-904,user-2543
role-905,user-4546
role-905,user-4321
role-906,#N/A
role-907,#N/A
role-908,#N/A
role-909,#N/A
role-910,#N/A
role-911,#N/A
role-912,user-5713
role-912,user-113
role-913,#N/A
role-913,user-4970
role-914,#N/A
role-915,#N/A
role-916,#N/A
role-917,#N/A
role-918,#N/A
role-919,user-4988
role-919,user-6895
role-920,#N/A
role-920,user-5697
role-921,#N/A
role-922,#N/A
role-922,user-4970
role-923,#N/A
role-924,#N/A
role-924,user-6728
role-925,user-3468
role-925,user-7058
role-926,user-3468
role-926,user-7058
role-927,user-3468
role-927,user-7058
role-928,#N/A
role-929,user-1737
role-930,user-1294
role-930,user-5821
role-930,user-1966
role-931,#N/A
role-931,user-3499
role-932,#N/A
role-933,#N/A
role-933,user-5821
role-933,user-1294
role-934,user-1264
role-934,#N/A
role-934,user-3069
role-934,user-5670
role-935,#N/A
role-936,user-6742
role-936,user-3224
role-937,user-4609
role-938,user-3468
role-938,user-7058
role-939,user-2392
role-939,#N/A
role-940,#N/A
role-941,user-5902
role-941,#N/A
role-942,#N/A
role-942,user-3224
role-943,user-3468
role-943,user-7058
role-944,user-3468
role-944,user-7058
role-945,user-3468
role-945,user-7058
role-946,user-3468
role-946,#N/A
role-946,user-7058
role-946,user-5902
role-947,user-3468
role-948,user-3468
role-948,user-7058
role-949,user-3468
role-949,user-7058
role-950,user-3468
role-950,user-7058
role-951,user-5567
role-951,user-2168
role-952,user-5670
role-953,user-4434
role-953,user-5670
role-954,user-5670
role-955,#N/A
role-955,user-1966
role-956,#N/A
role-957,user-4378
role-957,user-6728
role-958,#N/A
role-958,user-6728
role-959,user-5902
role-959,#N/A
role-960,user-3468
role-960,user-5902
role-961,#N/A
role-962,user-5484
role-962,user-2715
role-963,#N/A
role-964,#N/A
role-965,#N/A
role-966,#N/A
role-967,#N/A
role-968,#N/A
role-969,#N/A
role-970,#N/A
role-971,#N/A
role-972,#N/A
role-973,#N/A
role-974,#N/A
role-975,#N/A
role-976,#N/A
role-977,#N/A
role-978,#N/A
role-979,#N/A
role-980,#N/A
role-981,#N/A
role-982,#N/A
role-983,#N/A
role-984,#N/A
role-985,#N/A
role-986,#N/A
role-986,user-490
role-987,#N/A
role-988,#N/A
role-989,#N/A
role-990,#N/A
role-990,user-2487
role-991,#N/A
role-992,#N/A
role-993,#N/A
role-994,#N/A
role-995,#N/A
role-996,#N/A
role-997,#N/A
role-998,#N/A
role-999,#N/A
role-1000,#N/A
role-1001,#N/A
role-1002,#N/A
role-1003,#N/A
role-1004,#N/A
role-1005,#N/A
role-1006,#N/A
role-1007,#N/A
role-1008,#N/A
role-1009,#N/A
role-1010,#N/A
role-1011,#N/A
role-1012,#N/A
role-1013,#N/A
role-1014,#N/A
role-1015,#N/A
role-1016,#N/A
role-1017,#N/A
role-1018,#N/A
role-1019,#N/A
role-1020,#N/A
role-1021,#N/A
role-1022,#N/A
role-1023,#N/A
role-1024,#N/A
role-1025,#N/A
role-1026,#N/A
role-1027,#N/A
role-1028,#N/A
role-1029,#N/A
role-1030,#N/A
role-1031,#N/A
role-1032,#N/A
role-1033,#N/A
role-1034,#N/A
role-1035,#N/A
role-1036,#N/A
role-1037,#N/A
role-1038,#N/A
role-1039,#N/A
role-1040,#N/A
role-1041,#N/A
role-1041,user-4445
role-1042,#N/A
role-1043,#N/A
role-1044,#N/A
role-1045,#N/A
role-1046,#N/A
role-1047,#N/A
role-1048,#N/A
role-1049,#N/A
role-1050,#N/A
role-1051,#N/A
role-1052,#N/A
role-1053,#N/A
role-1054,#N/A
role-1055,#N/A
role-1056,#N/A
role-1057,#N/A
role-1058,#N/A
role-1059,#N/A
role-1060,#N/A
role-1061,#N/A
role-1062,#N/A
role-1063,#N/A
role-1064,#N/A
role-1065,#N/A
role-1066,#N/A
role-1067,#N/A
role-1068,#N/A
role-1069,#N/A
role-1070,#N/A
role-1071,#N/A
role-1072,#N/A
role-1073,#N/A
role-1074,user-3558
role-1074,user-1690
role-1075,#N/A
role-1076,user-3558
role-1076,#N/A
role-1077,#N/A
role-1078,#N/A
role-1079,#N/A
role-1080,#N/A
role-1081,#N/A
role-1082,#N/A
role-1083,#N/A
role-1084,#N/A
role-1085,#N/A
role-1086,#N/A
role-1087,#N/A
role-1088,#N/A
role-1089,#N/A
role-1090,#N/A
role-1091,user-6427
role-1091,#N/A
role-1092,user-6427
role-1092,#N/A
role-1093,#N/A
role-1094,user-6427
role-1094,#N/A
role-1095,user-7058
role-1095,user-5575
role-1096,#N/A
role-1097,user-6839
role-1097,user-4296
role-1098,#N/A
role-1099,#N/A
role-1100,#N/A
role-1101,#N/A
role-1102,#N/A
role-1103,#N/A
role-1104,#N/A
role-1105,#N/A
role-1106,#N/A
